"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Group Creation and Cancel Group Creation

    Test Steps:
    1. Login as a provider
    2. Navigate to Groups page
    3. Click on ""Create Group"" button
    4. Fill in the group details
    5. Click on ""Cancel"" button, the group is not created

    6. Click on ""Create Group"" button
    7. Fill in the group details
    8. Click on ""Create Group"" button
    9. Verify the group is created
    10. Click on ""Cancel"" button, the group is not created
    ","3293","test_2_4_0_group_creation_and_cancel_group_creation","tests","Wed Oct 08 19:23:46 JST 2025","passed","Wed Oct 08 19:23:49 JST 2025","","test_2_Group_Admin_Provider","",""
"
    Verify filters on the complete studies tab

    Test Steps:
    1. Login as a group admin
    2. User clicks on the Group name - Group that I administer
    3. User clicks on the ""Complete Studies"" tab
    4. User verifies the filters for Payable to Reader
    5. User verifies the filters for Payment status
    6. User verifies the filters for Cross Filtering 
    7. User verifies the filters for Search for Provider Name or NPI
    ","15806","test_2_6_0_verify_filters_on_complete_studies_tab","tests","Wed Oct 08 19:23:58 JST 2025","passed","Wed Oct 08 19:24:14 JST 2025","","test_2_Group_Admin_Provider","",""
"
    Register with existing email

    Test Steps:
    1. Navigate to the registration page
    2. Fill in the basic information with existing email
    3. Verify the error message in toast notification
    ","10629","test_1_1_0_register_with_existing_email","tests","Wed Oct 08 19:28:05 JST 2025","passed","Wed Oct 08 19:28:15 JST 2025","","test_1_Provider_authentication","",""
"
    Viewing My Groups

    Test Steps:
    1. Login as a provider
    2. Navigate to Groups page
    3. Verify My Groups section is visible
    4. Click on My Groups section, and verify the group details page is visible
    ","2938","test_2_1_0_viewing_my_groups","tests","Wed Oct 08 19:22:55 JST 2025","passed","Wed Oct 08 19:22:58 JST 2025","","test_2_Group_Admin_Provider","",""
"
    My Groups page - view LnQ alerts from ""Groups that I administer"" - Targeted

    Test Steps:
    1. Login as a group admin
    2. Navigate to the home page
    3. View LnQ alerts from ""Groups that I administer"" - Targeted
    4. Verify the LnQ alerts are displayed
    ","4082","test_14_1_0_viewing_LnQ_alerts_from_groups_that_I_administer_targeted","tests","Wed Oct 08 19:15:15 JST 2025","passed","Wed Oct 08 19:15:19 JST 2025","","test_14_Multiple_LnQ_Alert","",""
"
    As a group admin, I can assign other member as group admin

    Test Steps:
    1. Login as an admin
    2. User navigate to ""Groups"" and clicks on ""My Group"" tab
    3. Clicks on ""3 dots"" and select the option ""Make Group Admin""
    4. Check on the new admin's Home page
    ","4257","test_2_1_0_assigning_group_admin","tests","Wed Oct 08 19:23:10 JST 2025","passed","Wed Oct 08 19:23:14 JST 2025","","test_2_Group_Admin_Provider","",""
"
    As a user I can view Completed Studies

    Test Steps:
    1. Login as a provider
    2. Navigate to home page
    3. View Completed Studies
    4. Verify the Completed Studies is set
    ","4730","test_4_5_0_viewing_completed_studies","tests","Wed Oct 08 19:22:20 JST 2025","passed","Wed Oct 08 19:22:24 JST 2025","","test_4_RVU_tracker","",""
"
    Viewing Providers within a group

    Test Steps:
    1. Login as a provider
    2. Navigate to Groups page
    3. Click on page navigation (page 3)
    4. Select FMOLHS group
    5. Verify group details page elements
    6. Verify action buttons are visible
    7. Verify tab navigation is present
    8. Verify provider table elements
    ","7514","test_2_2_0_viewing_providers_within_group","tests","Wed Oct 08 19:23:32 JST 2025","passed","Wed Oct 08 19:23:39 JST 2025","","test_2_Group_Admin_Provider","",""
"
    User can see the local time on LnQ scheduled list

    Test Steps:
    1. Login as a group admin
    2. Navigate to the groups page
    3. View LnQ alerts from ""Scheduled"" tab
    4. Verify the LnQ is displayed with the local time
    ","3295","test_14_9_0_user_can_see_the_local_time_on_LnQ_scheduled_list","tests","Wed Oct 08 19:16:13 JST 2025","passed","Wed Oct 08 19:16:16 JST 2025","","test_14_Multiple_LnQ_Alert","",""
"
    Checking the presence and functionality of ""Select All"" button

    Test Steps:
    1. Login as a group admin
    2. Navigate to the provider list for targeting
    3. Verify the presence and functionality of ""Select All"" button
    ","11128","test_7_1_0_checking_the_presence_and_functionality_of_select_all_button","tests","Wed Oct 08 19:25:05 JST 2025","passed","Wed Oct 08 19:25:16 JST 2025","","test_7_Targeted_LNQ_Alerts","",""
"
    Provider activates individual alerts

    Test Steps:
    1. Login as a provider
    2. Click on ""Create LnQ""
    3. User selected ""Group LnQ"" and clicks on next
    4. User selects one of the group and clicks on confirm
    5. The window pops out with ""You’re activating LnQ for MBPB. Do you want to proceed?"" and user clicks on Next
    6. User enters the amount $ and clicks on ""Next""
    7. User select on the providers
    8. Click on ""Confirm""
    9. Verify the LnQ is activated for the group
    ","10207","test_9_1_0_provider_activates_individual_alerts","tests","Wed Oct 08 19:26:25 JST 2025","passed","Wed Oct 08 19:26:35 JST 2025","","test_9_Individual_LnQ_Alert","",""
"
    Enable Targeted Alerts for Group Admins

    Test Steps:
    1. Navigate to the registration page
    2. Fill in the basic information
    3. Select the specialty
    4. Select the work preferences
    5. Set the work types
    6. Select the states
    7. Set the malpractice insurance
    8. Accept the terms and continue
    9. Verify the success message
    ","13113","test_7_1_0_enabling_targeted_alerts_for_group_admins","tests","Wed Oct 08 19:24:17 JST 2025","passed","Wed Oct 08 19:24:30 JST 2025","","test_7_Targeted_LNQ_Alerts","",""
"
    Entering the registration requirements details with missing required fields

    Test Steps:
    1. Navigate to the registration page
    2. Fill in the basic information
    3. Select the specialty
    4. Select the work preferences
    5. Set the work types
    6. Select the states
    7. Set the malpractice insurance
    8. Accept the terms and continue
    9. Verify the error message
    ","1404","test_1_1_0_missing_required_fields","tests","Wed Oct 08 19:28:02 JST 2025","passed","Wed Oct 08 19:28:03 JST 2025","","test_1_Provider_authentication","",""
"
    As a user I can navigate to RVU Tracker and check the chart of RVUs (sorted by last name in alphabetical order)

    Test Steps:
    1. Login as a provider
    2. Navigate to home page
    3. Navigate to RVU Tracker and check the chart of RVUs (sorted by last name in alphabetical order)
    4. Verify the chart of RVUs is set
    ","9929","test_4_7_0_navigating_to_rvu_tracker_and_checking_chart_of_rvus","tests","Wed Oct 08 19:22:45 JST 2025","passed","Wed Oct 08 19:22:55 JST 2025","","test_4_RVU_tracker","",""
"
    My Groups page - view LnQ alerts from ""Scheduled"" tab

    Test Steps:
    1. Login as a group admin
    2. Navigate to the home page
    3. View LnQ alerts from ""Scheduled"" tab
    4. Verify the LnQ alerts are displayed
    ","3872","test_14_1_0_viewing_LnQ_alerts_from_scheduled_tab","tests","Wed Oct 08 19:15:25 JST 2025","passed","Wed Oct 08 19:15:29 JST 2025","","test_14_Multiple_LnQ_Alert","",""
"
    Entering all the registration requirements details

    Test Steps:
    1. Navigate to the registration page
    2. Fill in the basic information
    3. Select the specialty
    4. Select the work preferences
    5. Set the work types
    6. Select the states
    7. Set the malpractice insurance
    8. Accept the terms and continue
    9. Verify the success message
    ","10104","test_1_1_0_entering_the_registration_requirements_details","tests","Wed Oct 08 19:27:52 JST 2025","passed","Wed Oct 08 19:28:02 JST 2025","","test_1_Provider_authentication","",""
"
    Reselecting all providers after unselecting multiple options
    ","19776","test_7_1_0_reselecting_all_providers_after_unselecting_multiple_options","tests","Wed Oct 08 19:25:19 JST 2025","passed","Wed Oct 08 19:25:39 JST 2025","","test_7_Targeted_LNQ_Alerts","",""
"
    As a responding provider, I want to respond to the specific LnQ alert

    Test Steps:
    1. Login as a responding provider
    2. Navigate to the LnQ alert
    3. Respond to the LnQ alert
    4. Verify the LnQ alert is responded to
    ","16690","test_7_2_0_responding_to_the_specific_LnQ_alert","tests","Wed Oct 08 19:25:42 JST 2025","passed","Wed Oct 08 19:25:59 JST 2025","","test_7_Targeted_LNQ_Alerts","",""
"
    Viewing All Groups

    Test Steps:
    1. Login as a provider
    2. Navigate to Groups page
    3. Verify All Groups section is visible
    4. Click on All Groups section, and verify the group details page is visible
    ","3325","test_2_3_0_viewing_all_groups","tests","Wed Oct 08 19:23:42 JST 2025","passed","Wed Oct 08 19:23:46 JST 2025","","test_2_Group_Admin_Provider","",""
"
    As a user I can initiate an ORM Message - Non-Payable

    Test Steps:
    1. Login as a provider
    2. Navigate to home page
    3. Initiate an ORM Message - Non-Payable
    4. Verify the Completed Studies is set
    ","20212","test_4_4_0_initiating_orm_message_non_payable","tests","Wed Oct 08 19:20:30 JST 2025","passed","Wed Oct 08 19:20:50 JST 2025","","test_4_RVU_tracker","",""
"
    Active & Scheduled Alerts - see all the parameters set for LnQ alert

    Test Steps:
    1. Login as a group admin
    2. Navigate to the groups page
    3. View LnQ alerts from ""Groups that I administer"" - Status
    4. Verify the LnQ is displayed with all the parameters set
    ","4417","test_14_10_0_active_and_scheduled_alerts_see_all_the_parameters_set_for_LnQ_alert","tests","Wed Oct 08 19:16:44 JST 2025","passed","Wed Oct 08 19:16:49 JST 2025","","test_14_Multiple_LnQ_Alert","",""
"
    As a responding provider, I want to tracking number of providers responding to LnQ alert

    Test Steps:
    1. Login as a responding provider
    2. Navigate to the LnQ alert
    3. Tracking number of providers responding to LnQ alert
    4. Verify the LnQ alert is responded to
    ","20122","test_7_2_0_tracking_number_of_providers_responding_to_LnQ_alert","tests","Wed Oct 08 19:26:02 JST 2025","passed","Wed Oct 08 19:26:22 JST 2025","","test_7_Targeted_LNQ_Alerts","",""
